--
-- TOC entry 4910 (class 0 OID 41045)
-- Dependencies: 221
-- Data for Name: dim_centro_distribuicao; Type: TABLE DATA; Schema: dw; Owner: -
--

COPY dw.dim_centro_distribuicao (id_centro, cd_id, nome_centro_distribuicao, regiao, cidade, estado, capacidade_armazenagem, tipo_cd) FROM stdin;
211	1	CD Joinville	Norte	\N	\N	5000	Regional
212	2	CD Blumenau	Vale do Itajaí	\N	\N	4200	Regional
213	3	CD Florianópolis	Grande Florianópolis	\N	\N	3800	Metropolitano
214	4	CD Chapecó	Oeste	\N	\N	4600	Regional
215	5	CD Criciúma	Sul	\N	\N	4000	Regional
216	6	CD Itajaí	Vale do Itajaí	\N	\N	5200	Portuário
217	7	CD Lages	Serrana	\N	\N	3000	Interior
218	8	CD Jaraguá do Sul	Norte	\N	\N	4100	Regional
219	9	CD São José	Grande Florianópolis	\N	\N	3900	Metropolitano
220	10	CD Tubarão	Sul	\N	\N	3600	Regional
\.


--
-- TOC entry 4911 (class 0 OID 41081)
-- Dependencies: 222
-- Data for Name: dim_fact_movimentacao_estoque; Type: TABLE DATA; Schema: dw; Owner: -
--

COPY dw.dim_fact_movimentacao_estoque (data_movimentacao, cd_id, codigo_produto, descricao_produto, quantidade_entrada, quantidade_saida, tipo_movimentacao, saldo_final) FROM stdin;
2024-01-04	1	P1001	Produto B	94	71	ENTRADA	23
2024-01-07	1	P1001	Produto D	82	137	ENTRADA	-32
2024-01-08	1	P1001	Produto F	89	140	ENTRADA	-83
2024-01-13	1	P1001	Produto D	217	218	ENTRADA	-84
2024-01-15	1	P1001	Produto A	128	135	ENTRADA	-91
2024-01-17	1	P1001	Produto E	103	41	ENTRADA	-29
2024-02-04	1	P1001	Produto D	219	157	ENTRADA	33
2024-02-22	1	P1001	Produto F	16	170	ENTRADA	-121
2024-02-27	1	P1001	Produto B	25	4	ENTRADA	-100
2024-03-02	1	P1001	Produto A	293	283	ENTRADA	-90
2024-03-03	1	P1001	Produto A	224	103	ENTRADA	31
2024-03-12	1	P1001	Produto D	125	52	ENTRADA	104
2024-03-13	1	P1001	Produto C	37	93	ENTRADA	48
2024-03-20	1	P1001	Produto E	136	5	ENTRADA	179
2024-03-28	1	P1001	Produto E	62	149	ENTRADA	92
2024-04-10	1	P1001	Produto A	190	181	ENTRADA	101
2024-04-12	1	P1001	Produto B	220	212	ENTRADA	109
2024-04-13	1	P1001	Produto E	214	210	ENTRADA	113
2024-04-14	1	P1001	Produto A	153	273	ENTRADA	-7
2024-05-01	1	P1001	Produto C	222	256	ENTRADA	-41
2024-05-11	1	P1001	Produto F	12	43	ENTRADA	-72
2024-05-18	1	P1001	Produto D	186	258	ENTRADA	-144
2024-05-28	1	P1001	Produto B	114	190	ENTRADA	-220
2024-06-13	1	P1001	Produto D	155	206	ENTRADA	-271
2024-06-19	1	P1001	Produto C	22	180	ENTRADA	-429
2024-06-21	1	P1001	Produto A	224	146	ENTRADA	-351
2024-06-29	1	P1001	Produto B	7	28	ENTRADA	-372
2024-01-19	2	P1001	Produto D	236	34	ENTRADA	202
2024-02-12	2	P1001	Produto B	284	184	ENTRADA	302
2024-02-26	2	P1001	Produto D	136	272	ENTRADA	166
2024-03-03	2	P1001	Produto C	146	34	ENTRADA	278
2024-03-22	2	P1001	Produto E	10	233	ENTRADA	55
2024-04-10	2	P1001	Produto A	13	156	ENTRADA	-88
2024-04-11	2	P1001	Produto B	233	143	ENTRADA	2
2024-04-13	2	P1001	Produto A	110	103	ENTRADA	9
2024-04-22	2	P1001	Produto F	139	36	ENTRADA	112
2024-05-31	2	P1001	Produto C	95	104	ENTRADA	103
2024-06-03	2	P1001	Produto E	85	233	ENTRADA	-45
2024-06-09	2	P1001	Produto C	5	196	ENTRADA	-236
2024-06-14	2	P1001	Produto E	152	75	ENTRADA	-159
